id,question_text_nl,question_text_en,placeholder_nl,placeholder_en,help_text_nl,help_text_en
q-alarmsystemen-303-3,Moet het oude systeem verwijderd worden?,Should the old systeem verwijderd worden?,,,,
q-alarmsystemen-304-1,Wat is het probleem?,Wat is het probleem?,,,,
q-alarmsystemen-304-2,Hoe oud is het systeem ongeveer?,Hoe oud is het systeem approximately?,,,,
q-alarmsystemen-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-architect-501-1,Heb je al bouwgrond?,Do you have al bouwgrond?,,,,
q-architect-501-2,In welke fase zit je?,In welke fase zit je?,,,,
q-architect-501-3,Wat voor type woning wil je bouwen?,What type of woning wil je bouwen?,,,,
q-architect-502-1,Om wat voor verbouwing gaat het?,Om wat voor verbouwing gaat het?,,,,
q-architect-502-2,Heb je al bestaande plannen/tekeningen?,Do you have al bestaande plannen/tekeningen?,,,,
q-architect-502-3,Moet de architect ook de bouwaanvraag/vergunning regelen?,Should the architect ook de bouwaanvraag/vergunning regelen?,,,,
q-architect-503-1,Wat wil je realiseren?,What do you want realiseren?,,,,
q-architect-503-2,Heb je een vergunning nodig of al aangevraagd?,Do you have een vergunning nodig of al aangevraagd?,,,,
q-architect-503-3,Moet de architect ook het bouwtoezicht doen?,Should the architect ook het bouwtoezicht doen?,,,,
q-architect-504-1,Om welke ruimtes gaat het?,Om welke ruimtes gaat het?,,,,
q-architect-504-2,Wat is je doel?,Wat is je doel?,,,,
q-architect-505-1,Waar heb je hulp bij nodig?,Waar heb je hulp bij nodig?,,,,
q-architect-505-2,In welke fase zit je?,In welke fase zit je?,,,,
q-architect-root,Wat voor opdracht zoek je?,What kind of project are you looking for?,,,,
q-asbest-601-1,Waar moet het onderzoek plaatsvinden?,Where should het onderzoek plaatsvinden?,,,,
q-asbest-601-2,Voor welk doel is het onderzoek nodig?,Voor welk doel is het onderzoek nodig?,,,,
q-asbest-602-1,Waar zit het asbest?,Waar zit het asbest?,,,,
q-asbest-602-2,Hoe groot is het oppervlak ongeveer?,How large is het oppervlak approximately?,,,,
q-asbest-602-3,Moet er een asbestinventarisatie vooraf gebeuren?,Should een asbestinventarisatie vooraf gebeuren?,,,,
q-asbest-603-1,Wat voor type dak gaat het om?,What type of dak gaat het om?,,,,
q-asbest-603-2,Hoe groot is het dakoppervlak ongeveer?,How large is het dakoppervlak approximately?,,,,
q-asbest-603-3,Wil je meteen nieuwe dakbedekking laten plaatsen?,Wil je meteen nieuwe dakbedekking have install?,,,,
q-asbest-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-bestrating-701-1,Waar moet de bestrating komen?,Where should de paving komen?,,,,
q-bestrating-701-2,Welke soort bestrating wil je?,Which soort paving wil je?,,,,
q-bestrating-701-3,Hoe groot is het oppervlak ongeveer?,How large is het oppervlak approximately?,,,,
q-bestrating-702-1,Waarom wil je de bestrating vervangen?,Why do you want to de paving replace?,,,,
q-bestrating-702-2,Moet de oude bestrating ook verwijderd worden?,Should the old paving ook verwijderd worden?,,,,
q-bestrating-702-3,Welke nieuwe bestrating wil je?,Which nieuwe paving wil je?,,,,
q-bestrating-703-1,Wat is het probleem?,Wat is het probleem?,,,,
q-bestrating-703-2,Hoe groot is het oppervlak dat moet worden aangepakt?,How large is het oppervlak dat moet worden aangepakt?,,,,
q-bestrating-root,Wat voor type bestrating zoek je?,What type of paving are you looking for?,,,,
q-betonwerken-801-1,Voor welk project wil je een fundering laten maken?,Voor welk project wil je een fundering have maken?,,,,
q-betonwerken-801-2,Hoe groot is de fundering ongeveer?,How large is de fundering approximately?,,,,
q-betonwerken-801-3,Moet er ook wapening worden geplaatst?,Should ook wapening worden geplaatst?,,,,
q-betonwerken-802-1,Wat voor vloer moet er komen?,What kind of vloer moet er komen?,,,,
q-betonwerken-802-2,Waar moet de vloer geplaatst worden?,Where should de vloer geplaatst worden?,,,,
q-betonwerken-802-3,Hoe groot is het oppervlak?,How large is het oppervlak?,,,,
q-betonwerken-803-1,Wat voor constructie gaat het om?,What kind of constructie gaat het om?,,,,
q-betonwerken-803-2,Hoe groot moet de constructie zijn?,How large moet de constructie zijn?,,,,
q-betonwerken-804-1,Wat is het probleem?,Wat is het probleem?,,,,
q-betonwerken-804-2,Hoe groot is de schade?,How large is de schade?,,,,
q-betonwerken-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-carport-901-1,Wat voor type carport wil je?,What type of carport wil je?,,,,
q-carport-901-2,Van welk materiaal moet de carport zijn?,Van welk materiaal moet de carport zijn?,,,,
q-carport-901-3,Moet de carport een dakbedekking hebben?,Should the carport een dakbedekking hebben?,,,,
q-carport-902-1,Waarom wil je de carport vervangen?,Why do you want to de carport replace?,,,,
q-carport-902-2,Wat voor nieuwe carport wil je?,What kind of nieuwe carport wil je?,,,,
q-carport-902-3,Moet de oude carport verwijderd worden?,Should the old carport verwijderd worden?,,,,
q-carport-903-1,Wat is het probleem?,Wat is het probleem?,,,,
q-carport-903-2,Hoe groot is de schade?,How large is de schade?,,,,
q-carport-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-centrale-verwarming-1001-1,Wat voor type installatie wil je?,What type of installatie wil je?,,,,
q-centrale-verwarming-1001-2,Voor wat voor woning?,Voor wat voor woning?,,,,
q-centrale-verwarming-1001-3,Moet de vakman ook radiatoren of vloerverwarming aansluiten?,Should the vakman ook radiatoren of vloerverwarming aansluiten?,,,,
q-centrale-verwarming-1002-1,Wat wil je vervangen?,What do you want replace?,,,,
q-centrale-verwarming-1002-2,Waarom wil je vervangen?,Why do you want to replace?,,,,
q-centrale-verwarming-1002-3,Moet de oude installatie verwijderd worden?,Should the old installatie verwijderd worden?,,,,
q-centrale-verwarming-1003-1,Wat is het probleem?,Wat is het probleem?,,,,
q-centrale-verwarming-1003-2,Hoe oud is de ketel ongeveer?,Hoe oud is de ketel approximately?,,,,
q-centrale-verwarming-1004-1,Wat voor onderhoud wil je?,What kind of onderhoud wil je?,,,,
q-centrale-verwarming-1004-2,Hoe oud is de installatie?,Hoe oud is de installatie?,,,,
q-centrale-verwarming-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-dakbedekking-1101-1,Wat voor type dak wil je laten plaatsen?,What type of dak wil je have install?,,,,
q-dakbedekking-1101-2,Om wat voor gebouw gaat het?,Om wat voor gebouw gaat het?,,,,
q-dakbedekking-1101-3,Welke dakbedekking wil je?,Which dakbedekking wil je?,,,,
q-dakbedekking-1102-1,Wat moet er vervangen worden?,Wat moet er replace worden?,,,,
q-dakbedekking-1102-2,Om wat voor type dak gaat het?,Om wat voor type dak gaat het?,,,,
q-dakbedekking-1102-3,Moet oude dakbedekking ook verwijderd worden?,Moet old dakbedekking ook verwijderd worden?,,,,
q-dakbedekking-1103-1,Wat voor probleem ervaar je?,What kind of probleem ervaar je?,,,,
q-dakbedekking-1103-2,Hoe groot is de schade?,How large is de schade?,,,,
q-dakbedekking-1104-1,Wat moet er gebeuren?,What needs to be done?,,,,
q-dakbedekking-1104-2,Welke dakbedekking wil je?,Which dakbedekking wil je?,,,,
q-dakbedekking-1105-1,Wat moet er gebeuren?,What needs to be done?,,,,
q-dakbedekking-1105-2,Wat voor soort dakpannen?,What kind of soort dakpannen?,,,,
q-dakbedekking-root,Wat voor type dakwerk zoek je?,What type of dakwerk are you looking for?,,,,
q-dakisolatie-1201-1,Wat moet er gebeuren?,What needs to be done?,,,,
q-dakisolatie-1201-2,Heb je al dakbedekking die behouden moet blijven?,Do you have al dakbedekking die beholdn moet blijven?,,,,
q-dakisolatie-1201-3,Wat is de dakoppervlakte ongeveer?,Wat is de dakoppervlakte approximately?,,,,
q-dakisolatie-1202-1,Wat moet er geïsoleerd worden?,Wat moet er geïsoleerd worden?,,,,
q-dakisolatie-1202-2,Wat is de afwerking na isolatie?,Wat is de afwerking na isolatie?,,,,
q-dakisolatie-1202-3,Hoe groot is het dakoppervlak ongeveer?,How large is het dakoppervlak approximately?,,,,
q-dakisolatie-1203-1,Moet de dakbedekking ook vernieuwd worden?,Should the dakbedekking ook vernieuwd worden?,,,,
q-dakisolatie-1203-2,Wat voor soort dakbedekking wil je terug?,What kind of soort dakbedekking wil je terug?,,,,
q-dakisolatie-1203-3,Hoe groot is het dakoppervlak ongeveer?,How large is het dakoppervlak approximately?,,,,
q-dakisolatie-1204-1,Wil je de zoldervloer afwerken als woonruimte?,Wil je de zoldervloer afwerken als woonruimte?,,,,
q-dakisolatie-1204-2,Wat voor isolatiemateriaal heeft je voorkeur?,What kind of isolatiemateriaal heeft je voorkeur?,,,,
q-dakisolatie-root,Wat voor type dak wil je isoleren?,What type of dak wil je isoleren?,,,,
q-dakramen-1301-1,Wat voor type dakraam wil je laten plaatsen?,What type of dakraam wil je have install?,,,,
q-dakramen-1301-2,Wat is de afmeting ongeveer?,Wat is de afmeting approximately?,,,,
q-dakramen-1301-3,Moet het dakraam ook voorzien worden van zonwering of rolluik?,Should the dakraam ook voorzien worden van zonwering of rolluik?,,,,
q-dakramen-1302-1,Wat voor type raam gaat het om?,What type of raam gaat het om?,,,,
q-dakramen-1302-2,Waarom wil je het raam vervangen?,Why do you want to het raam replace?,,,,
q-dakramen-1302-3,Moet het oude raam ook verwijderd worden?,Should the old raam ook verwijderd worden?,,,,
q-dakramen-1303-1,Wat is het probleem?,Wat is het probleem?,,,,
q-dakramen-1303-2,Hoe oud is het raam ongeveer?,Hoe oud is het raam approximately?,,,,
q-dakramen-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-deuren-1401-1,Om wat voor type deur gaat het?,Om wat voor type deur gaat het?,,,,
q-deuren-1401-2,Van welk materiaal moet de deur zijn?,Van welk materiaal moet de deur zijn?,,,,
q-deuren-1401-3,Moet de deur ook geleverd worden of alleen geplaatst?,Should the deur ook geleverd worden of alleen geplaatst?,,,,
q-deuren-1402-1,Om wat voor type deur gaat het?,Om wat voor type deur gaat het?,,,,
q-deuren-1402-2,Waarom wil je de deur vervangen?,Why do you want to de deur replace?,,,,
q-deuren-1402-3,Moet de oude deur ook verwijderd worden?,Should the old deur ook verwijderd worden?,,,,
q-deuren-1403-1,Wat is het probleem?,Wat is het probleem?,,,,
q-deuren-1403-2,Om wat voor type deur gaat het?,Om wat voor type deur gaat het?,,,,
q-deuren-1404-1,Wat wil je laten doen?,What do you want have doen?,,,,
q-deuren-1404-2,Om hoeveel deuren gaat het?,How many deuren gaat het?,,,,
q-deuren-root,Wat voor type deuroplossing zoek je?,What type of deuroplossing are you looking for?,,,,
q-elektricien-1501-1,Voor welk type gebouw?,Voor welk type gebouw?,,,,
q-elektricien-1501-2,Wat moet er worden aangelegd?,Wat moet er worden aangelegd?,,,,
q-elektricien-1501-3,Heb je al een elektriciteitsplan?,Do you have al een elektriciteitsplan?,,,,
q-elektricien-1502-1,Wat wil je uitbreiden?,What do you want uitbreiden?,,,,
q-elektricien-1502-2,Hoeveel extra punten gaat het om?,How many extra punten gaat het om?,,,,
q-elektricien-1503-1,Wat is het probleem?,Wat is het probleem?,,,,
q-elektricien-1503-2,Hoe dringend is de reparatie?,Hoe dringend is de reparatie?,,,,
q-elektricien-1504-1,Waarvoor is de keuring nodig?,Waarvoor is de keuring nodig?,,,,
q-elektricien-1504-2,Moet er ook direct hersteld worden bij afkeur?,Should ook direct hersteld worden bij afkeur?,,,,
q-elektricien-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-garagepoorten-1601-1,Wat voor type garagepoort wil je?,What type of garagepoort wil je?,,,,
q-garagepoorten-1601-2,Met of zonder elektrische bediening?,Met of zonder elektrische bediening?,,,,
q-garagepoorten-1601-3,Hoe breed is de garageopening ongeveer?,Hoe breed is de garageopening approximately?,,,,
q-garagepoorten-1602-1,Waarom wil je de garagepoort vervangen?,Why do you want to de garagepoort replace?,,,,
q-garagepoorten-1602-2,Welk type poort wil je terugplaatsen?,Welk type poort wil je teruginstall?,,,,
q-garagepoorten-1602-3,Moet de oude poort verwijderd worden?,Should the old poort verwijderd worden?,,,,
q-garagepoorten-1603-1,Wat is het probleem?,Wat is het probleem?,,,,
q-garagepoorten-1603-2,Hoe oud is de garagepoort ongeveer?,Hoe oud is de garagepoort approximately?,,,,
q-garagepoorten-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-general-contact-company,Bedrijfsnaam,Company name,Bedrijfsnaam..,Company name..,,
q-general-contact-email,E-mailadres,Email address,E-mailadres..,Email address..,,
q-general-contact-email-business,E-mailadres,Email address,E-mailadres..,Email address..,,
q-general-contact-firstname,Voornaam,First name,Voornaam..,First name..,,
q-general-contact-firstname-business,Voornaam,First name,Voornaam..,First name..,,
q-general-contact-lastname,Achternaam,Last name,Achternaam..,Last name..,,
q-general-contact-lastname-business,Achternaam,Last name,Achternaam..,Last name..,,
q-general-contact-phone,Telefoonnummer,Phone number,Telefoonnummer..,Phone number..,,
q-general-contact-phone-business,Telefoonnummer,Phone number,Telefoonnummer..,Phone number..,,
q-general-description,Projectomschrijving,Project description,Geef een korte omschrijving van je project en ontvang nauwkeurigere offertes.,Briefly describe your project and receive more accurate quotes.,Geef een korte omschrijving van je project en ontvang nauwkeurigere offertes.,Briefly describe your project and receive more accurate quotes.
q-general-execution-date,Uitvoeringsdatum,Execution date,,,,
q-general-location-city,Woonplaats / Stad,City,Woonplaats / Stad..,City..,,
q-general-location-number,Nummer / Huisnummer,Number / House number,Nummer / Huisnummer..,Number / house number..,,
q-general-location-postcode,Postcode,Postcode,Postcode..,Postcode..,,
q-general-location-street,Straatnaam,Street name,Straatnaam..,Street name..,,
q-general-photos,Wil je foto's toevoegen?,Do you want to add photos?,,,,
q-general-request-type,Soort aanvraag,Type of request,,,,
q-gevelwerken-1701-1,Wat voor soort gevel heb je?,What kind of soort gevel heb je?,,,,
q-gevelwerken-1701-2,Hoe wil je de gevel laten reinigen?,Hoe wil je de gevel have reinigen?,,,,
q-gevelwerken-1701-3,Hoe groot is de gevel ongeveer?,How large is de gevel approximately?,,,,
q-gevelwerken-1702-1,Wat moet er hersteld worden?,Wat moet er hersteld worden?,,,,
q-gevelwerken-1702-2,Hoe groot is de schade?,How large is de schade?,,,,
q-gevelwerken-1703-1,Met welk materiaal wil je de gevel bekleden?,Met welk materiaal wil je de gevel bekleden?,,,,
q-gevelwerken-1703-2,Moet de gevel ook geïsoleerd worden?,Should the gevel ook geïsoleerd worden?,,,,
q-gevelwerken-1703-3,Hoe groot is de gevel?,How large is de gevel?,,,,
q-gevelwerken-1704-1,Wat moet er gebeuren?,What needs to be done?,,,,
q-gevelwerken-1704-2,Hoe groot is het oppervlak?,How large is het oppervlak?,,,,
q-gevelwerken-root,Wat voor type gevelwerk zoek je?,What type of gevelwerk are you looking for?,,,,
q-glassetter-1801-1,Waar moet het glas geplaatst worden?,Where should the glass be installed?,,,,
q-glassetter-1801-2,Wat voor type glas wil je?,What type of glass do you want?,,,,
q-glassetter-1801-3,Hoeveel ruiten gaat het om?,How many panes does it concern?,,,,
q-glassetter-1802-1,Waarom wil je het glas vervangen?,Why do you want to replace the glass?,,,,
q-glassetter-1802-2,Welk type glas wil je laten plaatsen?,What type of glass do you want to install?,,,,
q-glassetter-1802-3,Moet het oude glas ook verwijderd worden?,Should the old glass also be removed?,,,,
q-glassetter-1803-1,Wat is het probleem?,What is the problem?,,,,
q-glassetter-1803-2,Hoeveel ruiten gaat het om?,How many panes does it concern?,,,,
q-glassetter-root,Wat voor type glasopdracht zoek je?,What type of glass project are you looking for?,,,,
q-grondwerken-1901-1,Wat moet er uitgegraven of opgehoogd worden?,Wat moet er uitgegraven of opgehoogd worden?,,,,
q-grondwerken-1901-2,Hoe groot is het oppervlak?,How large is het oppervlak?,,,,
q-grondwerken-1901-3,Moet de grond ook afgevoerd worden?,Should the grond ook removed worden?,,,,
q-grondwerken-1902-1,Voor welk project?,Voor welk project?,,,,
q-grondwerken-1902-2,Hoe groot is de fundering?,How large is de fundering?,,,,
q-grondwerken-1902-3,Moet er ook bekisting/beton gestort worden?,Should ook bekisting/beton gestort worden?,,,,
q-grondwerken-1903-1,Voor welke leidingen?,Voor welke leidingen?,,,,
q-grondwerken-1903-2,Hoe lang moet er gegraven worden?,How long moet er gegraven worden?,,,,
q-grondwerken-1903-3,Moet de sleuf weer dichtgemaakt worden?,Should the sleuf weer dichtgemaakt worden?,,,,
q-grondwerken-1904-1,Waar moet het terrein geëgaliseerd worden?,Where should het terrein geëgaliseerd worden?,,,,
q-grondwerken-1904-2,Hoe groot is het terrein?,How large is het terrein?,,,,
q-grondwerken-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-gyproc-plafonds-2001-1,Waar wil je nieuwe wanden plaatsen?,Waar wil je nieuwe wanden install?,,,,
q-gyproc-plafonds-2001-2,Moeten de wanden geluids- of warmte-isolerend zijn?,Moeten de wanden geluids- of warmte-isolerend zijn?,,,,
q-gyproc-plafonds-2001-3,Hoe groot is de wand (in m²) ongeveer?,How large is de wand (in m²) approximately?,,,,
q-gyproc-plafonds-2002-1,Waar moet het plafond komen?,Where should het plafond komen?,,,,
q-gyproc-plafonds-2002-2,Wat voor type plafond wil je?,What type of plafond wil je?,,,,
q-gyproc-plafonds-2002-3,Moet er ook verlichting geïntegreerd worden?,Should ook verlichting geïntegreerd worden?,,,,
q-gyproc-plafonds-2003-1,Wat voor afwerking wil je?,What kind of afwerking wil je?,,,,
q-gyproc-plafonds-2003-2,Hoe groot is de oppervlakte ongeveer?,How large is de oppervlakte approximately?,,,,
q-gyproc-plafonds-2004-1,Wat is het probleem?,Wat is het probleem?,,,,
q-gyproc-plafonds-2004-2,Hoe groot is de schade?,How large is de schade?,,,,
q-gyproc-plafonds-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-haard-2101-1,Wat voor type haard wil je?,What type of haard wil je?,,,,
q-haard-2101-2,Waar moet de haard komen?,Where should de haard komen?,,,,
q-haard-2101-3,Moet er ook een rookkanaal aangelegd worden?,Should ook een rookkanaal aangelegd worden?,,,,
q-haard-2102-1,Wat wil je vervangen?,What do you want replace?,,,,
q-haard-2102-2,Waarom wil je vervangen?,Why do you want to replace?,,,,
q-haard-2102-3,Moet de oude haard verwijderd worden?,Should the old haard verwijderd worden?,,,,
q-haard-2103-1,Wat is het probleem?,Wat is het probleem?,,,,
q-haard-2103-2,Hoe oud is de haard ongeveer?,Hoe oud is de haard approximately?,,,,
q-haard-2104-1,Wat wil je laten doen?,What do you want have doen?,,,,
q-haard-2104-2,Om wat voor haard gaat het?,Om wat voor haard gaat het?,,,,
q-haard-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-hekwerken-2201-1,Wat voor type hekwerk wil je?,What type of hekwerk wil je?,,,,
q-hekwerken-2201-2,Hoe hoog moet het hekwerk zijn?,How high moet het hekwerk zijn?,,,,
q-hekwerken-2201-3,Hoe lang moet het hekwerk zijn?,How long moet het hekwerk zijn?,,,,
q-hekwerken-2202-1,Wat voor type hekwerk wil je vervangen?,What type of hekwerk wil je replace?,,,,
q-hekwerken-2202-2,Waarom wil je vervangen?,Why do you want to replace?,,,,
q-hekwerken-2202-3,Moet het oude hekwerk verwijderd worden?,Should the old hekwerk verwijderd worden?,,,,
q-hekwerken-2203-1,Wat is het probleem?,Wat is het probleem?,,,,
q-hekwerken-2203-2,Hoe groot is de schade?,How large is de schade?,,,,
q-hekwerken-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-interieur-2301-1,Om welke ruimtes gaat het?,Om welke ruimtes gaat het?,,,,
q-interieur-2301-2,Wat is je belangrijkste doel?,Wat is je belangrijkste doel?,,,,
q-interieur-2302-1,Voor welk type woning?,Voor welk type woning?,,,,
q-interieur-2302-2,Wil je ook begeleiding tijdens de uitvoering?,Wil je ook begeleiding tijdens de uitvoering?,,,,
q-interieur-2302-3,Heb je een voorkeur voor stijl?,Do you have een voorkeur voor stijl?,,,,
q-interieur-2303-1,Om wat voor meubel gaat het?,Om wat voor meubel gaat het?,,,,
q-interieur-2303-2,Waar moet het meubel komen?,Where should het meubel komen?,,,,
q-interieur-2304-1,Voor welke ruimte wil je advies?,Voor welke ruimte wil je advies?,,,,
q-interieur-2304-2,Wat is je doel?,Wat is je doel?,,,,
q-interieur-2305-1,Voor welke ruimte(s) heb je een lichtplan nodig?,Voor welke ruimte(s) heb je een lichtplan nodig?,,,,
q-interieur-2305-2,Wil je ook installatie laten uitvoeren?,Wil je ook installatie have uitvoeren?,,,,
q-interieur-root,Wat voor type interieur-opdracht zoek je?,What type of interieur-project are you looking for?,,,,
q-isolatie-2401-1,Wat voor woning heb je?,What kind of woning heb je?,,,,
q-isolatie-2401-2,Weet je of de spouwmuur al geïsoleerd is?,Weet je of de spouwmuur al geïsoleerd is?,,,,
q-isolatie-2401-3,Wat is de oppervlakte ongeveer?,Wat is de oppervlakte approximately?,,,,
q-isolatie-2402-1,Wat voor type dak wil je isoleren?,What type of dak wil je isoleren?,,,,
q-isolatie-2402-2,Hoe groot is het oppervlak ongeveer?,How large is het oppervlak approximately?,,,,
q-isolatie-2403-1,Waar wil je isoleren?,Waar wil je isoleren?,,,,
q-isolatie-2403-2,Wat is de vloeroppervlakte ongeveer?,Wat is de vloeroppervlakte approximately?,,,,
q-isolatie-2403-3,Moet er ook vloerverwarming meegenomen worden?,Should ook vloerverwarming meegenomen worden?,,,,
q-isolatie-2404-1,Wat voor afwerking wil je op de gevel?,What kind of afwerking wil je op de gevel?,,,,
q-isolatie-2404-2,Moet de gevel ook gereinigd/hersteld worden vooraf?,Should the gevel ook gereinigd/hersteld worden vooraf?,,,,
q-isolatie-2405-1,Wil je de zoldervloer ook als woonruimte gebruiken?,Wil je de zoldervloer ook als woonruimte gebruiken?,,,,
q-isolatie-2405-2,Welk isolatiemateriaal heeft je voorkeur?,Welk isolatiemateriaal heeft je voorkeur?,,,,
q-isolatie-root,Wat voor type isolatie zoek je?,What type of isolatie are you looking for?,,,,
q-it-apparatuur-401-1,Wat voor apparatuur wil je installeren?,What equipment do you want to install?,,,,
q-it-apparatuur-401-2,Voor hoeveel werkplekken?,For how many workstations?,,,,
q-it-apparatuur-401-3,Moet ook software/configuratie worden uitgevoerd?,Should software/configuration also be performed?,,,,
q-it-apparatuur-402-1,Welke apparatuur wil je vervangen?,Which equipment do you want to replace?,,,,
q-it-apparatuur-402-2,Waarom wil je vervangen?,Why do you want to replace?,,,,
q-it-apparatuur-402-3,Moet oude apparatuur afgevoerd worden?,Should old equipment be removed?,,,,
q-it-apparatuur-403-1,Om wat voor apparaat gaat het?,What kind of device is it?,,,,
q-it-apparatuur-403-2,Wat is het probleem?,What is the problem?,,,,
q-it-apparatuur-404-1,Voor welke apparaten zoek je onderhoud?,For which devices are you looking for maintenance?,,,,
q-it-apparatuur-404-2,Hoe vaak wil je onderhoud?,How often do you want maintenance?,,,,
q-it-apparatuur-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-kantoorapparatuur-6001-1,Wat voor type apparatuur wil je laten plaatsen?,What type of equipment do you want to install?,,,,
q-kantoorapparatuur-6001-2,Voor welk type organisatie/gebouw?,For what type of organization/building?,,,,
q-kantoorapparatuur-6001-3,Om hoeveel apparaten gaat het?,How many devices does it concern?,,,,
q-kantoorapparatuur-6002-1,Wat wil je vervangen?,What do you want to replace?,,,,
q-kantoorapparatuur-6002-2,Waarom wil je vervangen?,Why do you want to replace?,,,,
q-kantoorapparatuur-6002-3,Moet de oude apparatuur verwijderd worden?,Should the old equipment be removed?,,,,
q-kantoorapparatuur-6003-1,Wat is het probleem?,What is the problem?,,,,
q-kantoorapparatuur-6003-2,Hoe oud is de apparatuur ongeveer?,How old is the equipment approximately?,,,,
q-kantoorapparatuur-6004-1,Wat wil je laten doen?,What do you want to have done?,,,,
q-kantoorapparatuur-6004-2,Hoe vaak wil je onderhoud?,How often do you want maintenance?,,,,
q-kantoorapparatuur-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-keuken-2501-1,Wat voor type keuken wil je?,What type of keuken wil je?,,,,
q-keuken-2501-2,Heb je de keuken al gekocht?,Do you have de keuken al gekocht?,,,,
q-keuken-2501-3,Moet de vakman ook oude keuken verwijderen?,Should the vakman ook old keuken remove?,,,,
q-keuken-2502-1,Wat wil je laten renoveren?,What do you want have renoveren?,,,,
q-keuken-2502-2,Moet er ook leidingwerk worden aangepast?,Should ook leidingwerk worden aangepast?,,,,
q-keuken-2503-1,Welk materiaal wil je?,Welk materiaal wil je?,,,,
q-keuken-2503-2,Moet het oude blad verwijderd worden?,Should the old blad verwijderd worden?,,,,
q-keuken-2504-1,Om hoeveel kastdeuren gaat het?,How many kastdeuren gaat het?,,,,
q-keuken-2504-2,Welke afwerking wil je?,Which afwerking wil je?,,,,
q-keuken-2505-1,Om welke apparatuur gaat het?,Om welke apparatuur gaat het?,,,,
q-keuken-2505-2,Moet oude apparatuur worden verwijderd?,Moet old apparatuur worden verwijderd?,,,,
q-keuken-root,Wat voor keuken-opdracht zoek je?,What kind of keuken-project are you looking for?,,,,
q-laadpaal-2601-1,Waar wil je de laadpaal plaatsen?,Waar wil je de laadpaal install?,,,,
