id,question_text_nl,question_text_en,placeholder_nl,placeholder_en,help_text_nl,help_text_en
q-asbest-602-2,Hoe groot is het oppervlak ongeveer?,Approximately how large is the surface area?,,,,
q-asbest-602-3,Moet er een asbestinventarisatie vooraf gebeuren?,Does an asbestos survey need to be conducted beforehand?,,,,
q-asbest-603-1,Wat voor type dak gaat het om?,What type of roof is it?,,,,
q-asbest-603-2,Hoe groot is het dakoppervlak ongeveer?,Approximately how large is the roof surface?,,,,
q-asbest-603-3,Wil je meteen nieuwe dakbedekking laten plaatsen?,Do you want to have new roofing installed immediately?,,,,
q-asbest-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-bestrating-701-1,Waar moet de bestrating komen?,Where should the paving be installed?,,,,
q-bestrating-701-2,Welke soort bestrating wil je?,What kind of paving would you like?,,,,
q-bestrating-701-3,Hoe groot is het oppervlak ongeveer?,Approximately how large is the surface area?,,,,
q-bestrating-702-1,Waarom wil je de bestrating vervangen?,Why do you want to replace the paving?,,,,
q-bestrating-702-2,Moet de oude bestrating ook verwijderd worden?,Does the old paving also need to be removed?,,,,
q-bestrating-702-3,Welke nieuwe bestrating wil je?,What new paving would you like?,,,,
q-bestrating-703-1,Wat is het probleem?,What is the problem?,,,,
q-bestrating-703-2,Hoe groot is het oppervlak dat moet worden aangepakt?,How large is the surface area that needs to be addressed?,,,,
q-bestrating-root,Wat voor type bestrating zoek je?,What type of paving are you looking for?,,,,
q-betonwerken-801-1,Voor welk project wil je een fundering laten maken?,For which project would you like to have a foundation built?,,,,
q-betonwerken-801-2,Hoe groot is de fundering ongeveer?,Approximately how large is the foundation?,,,,
q-betonwerken-801-3,Moet er ook wapening worden geplaatst?,Does reinforcement also need to be installed?,,,,
q-betonwerken-802-1,Wat voor vloer moet er komen?,What kind of floor should be installed?,,,,
q-betonwerken-802-2,Waar moet de vloer geplaatst worden?,Where should the floor be placed?,,,,
q-betonwerken-802-3,Hoe groot is het oppervlak?,How large is the surface area?,,,,
q-betonwerken-803-1,Wat voor constructie gaat het om?,What kind of construction is it?,,,,
q-betonwerken-803-2,Hoe groot moet de constructie zijn?,How large should the structure be?,,,,
q-betonwerken-804-1,Wat is het probleem?,What is the problem?,,,,
q-betonwerken-804-2,Hoe groot is de schade?,How extensive is the damage?,,,,
q-betonwerken-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-carport-901-1,Wat voor type carport wil je?,What type of carport would you like?,,,,
q-carport-901-2,Van welk materiaal moet de carport zijn?,What material should the carport be made of?,,,,
q-carport-901-3,Moet de carport een dakbedekking hebben?,Should the carport have roofing?,,,,
q-carport-902-1,Waarom wil je de carport vervangen?,Why do you want to replace the carport?,,,,
q-carport-902-2,Wat voor nieuwe carport wil je?,What kind of new carport would you like?,,,,
q-carport-902-3,Moet de oude carport verwijderd worden?,Should the old carport be removed?,,,,
q-carport-903-1,Wat is het probleem?,What is the problem?,,,,
q-carport-903-2,Hoe groot is de schade?,How extensive is the damage?,,,,
q-carport-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-centrale-verwarming-1001-1,Wat voor type installatie wil je?,What type of installation would you like?,,,,
q-centrale-verwarming-1001-2,Voor wat voor woning?,For what type of home?,,,,
q-centrale-verwarming-1001-3,Moet de vakman ook radiatoren of vloerverwarming aansluiten?,Should the professional also connect radiators or underfloor heating?,,,,
q-centrale-verwarming-1002-1,Wat wil je vervangen?,What do you want to replace?,,,,
q-centrale-verwarming-1002-2,Waarom wil je vervangen?,Why do you want to replace it?,,,,
q-centrale-verwarming-1002-3,Moet de oude installatie verwijderd worden?,Should the old installation be removed?,,,,
q-centrale-verwarming-1003-1,Wat is het probleem?,What is the problem?,,,,
q-centrale-verwarming-1003-2,Hoe oud is de ketel ongeveer?,Approximately how old is the boiler?,,,,
q-centrale-verwarming-1004-1,Wat voor onderhoud wil je?,What type of maintenance would you like?,,,,
q-centrale-verwarming-1004-2,Hoe oud is de installatie?,How old is the installation?,,,,
q-centrale-verwarming-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-dakbedekking-1101-1,Wat voor type dak wil je laten plaatsen?,What type of roof would you like to have installed?,,,,
q-dakbedekking-1101-2,Om wat voor gebouw gaat het?,What type of building is it?,,,,
q-dakbedekking-1101-3,Welke dakbedekking wil je?,What type of roofing would you like?,,,,
q-dakbedekking-1102-1,Wat moet er vervangen worden?,What needs to be replaced?,,,,
q-dakbedekking-1102-2,Om wat voor type dak gaat het?,What type of roof is it?,,,,
q-dakbedekking-1102-3,Moet oude dakbedekking ook verwijderd worden?,Does the old roofing also need to be removed?,,,,
q-dakbedekking-1103-1,Wat voor probleem ervaar je?,What kind of issue are you experiencing?,,,,
q-dakbedekking-1103-2,Hoe groot is de schade?,How extensive is the damage?,,,,
q-dakbedekking-1104-1,Wat moet er gebeuren?,What needs to be done?,,,,
q-dakbedekking-1104-2,Welke dakbedekking wil je?,What type of roofing would you like?,,,,
q-dakbedekking-1105-1,Wat moet er gebeuren?,What needs to be done?,,,,
q-dakbedekking-1105-2,Wat voor soort dakpannen?,What type of roof tiles?,,,,
q-dakbedekking-root,Wat voor type dakwerk zoek je?,What type of roofing work are you looking for?,,,,
q-dakisolatie-1201-1,Wat moet er gebeuren?,What needs to be done?,,,,
q-dakisolatie-1201-2,Heb je al dakbedekking die behouden moet blijven?,Do you have existing roofing that needs to be preserved?,,,,
q-dakisolatie-1201-3,Wat is de dakoppervlakte ongeveer?,What is the approximate roof surface area?,,,,
q-dakisolatie-1202-1,Wat moet er geïsoleerd worden?,What needs to be insulated?,,,,
q-dakisolatie-1202-2,Wat is de afwerking na isolatie?,What is the required finish after insulation?,,,,
q-dakisolatie-1202-3,Hoe groot is het dakoppervlak ongeveer?,What is the approximate roof surface area?,,,,
q-dakisolatie-1203-1,Moet de dakbedekking ook vernieuwd worden?,Does the roofing also need to be renewed?,,,,
q-dakisolatie-1203-2,Wat voor soort dakbedekking wil je terug?,What type of new roofing would you like?,,,,
q-dakisolatie-1203-3,Hoe groot is het dakoppervlak ongeveer?,What is the approximate roof surface area?,,,,
q-dakisolatie-1204-1,Wil je de zoldervloer afwerken als woonruimte?,Would you like to finish the attic floor as a living space?,,,,
q-dakisolatie-1204-2,Wat voor isolatiemateriaal heeft je voorkeur?,What type of insulation material do you prefer?,,,,
q-dakisolatie-root,Wat voor type dak wil je isoleren?,What type of roof would you like to insulate?,,,,
q-dakramen-1301-1,Wat voor type dakraam wil je laten plaatsen?,What type of skylight would you like to have installed?,,,,
q-dakramen-1301-2,Wat is de afmeting ongeveer?,What are the approximate dimensions?,,,,
q-dakramen-1301-3,Moet het dakraam ook voorzien worden van zonwering of rolluik?,Should the skylight also be fitted with sun protection or a roller shutter?,,,,
q-dakramen-1302-1,Wat voor type raam gaat het om?,What type of window is it?,,,,
q-dakramen-1302-2,Waarom wil je het raam vervangen?,Why do you want to replace the window?,,,,
q-dakramen-1302-3,Moet het oude raam ook verwijderd worden?,Should the old window also be removed?,,,,
q-dakramen-1303-1,Wat is het probleem?,What is the problem?,,,,
q-dakramen-1303-2,Hoe oud is het raam ongeveer?,Approximately how old is the window?,,,,
q-dakramen-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-deuren-1401-1,Om wat voor type deur gaat het?,What type of door is it?,,,,
q-deuren-1401-2,Van welk materiaal moet de deur zijn?,What material should the door be made of?,,,,
q-deuren-1401-3,Moet de deur ook geleverd worden of alleen geplaatst?,Should the door be supplied and installed, or installed only?,,,,
q-deuren-1402-1,Om wat voor type deur gaat het?,What type of door is it?,,,,
q-deuren-1402-2,Waarom wil je de deur vervangen?,Why do you want to replace the door?,,,,
q-deuren-1402-3,Moet de oude deur ook verwijderd worden?,Should the old door also be removed?,,,,
q-deuren-1403-1,Wat is het probleem?,What is the problem?,,,,
q-deuren-1403-2,Om wat voor type deur gaat het?,What type of door is it?,,,,
q-deuren-1404-1,Wat wil je laten doen?,What would you like to have done?,,,,
q-deuren-1404-2,Om hoeveel deuren gaat het?,How many doors are involved?,,,,
q-deuren-root,Wat voor type deuroplossing zoek je?,What type of door solution are you looking for?,,,,
q-elektricien-1501-1,Voor welk type gebouw?,For what type of building?,,,,
q-elektricien-1501-2,Wat moet er worden aangelegd?,What needs to be installed?,,,,
q-elektricien-1501-3,Heb je al een elektriciteitsplan?,Do you already have an electrical plan?,,,,
q-elektricien-1502-1,Wat wil je uitbreiden?,What would you like to expand?,,,,
q-elektricien-1502-2,Hoeveel extra punten gaat het om?,How many extra connection points are involved?,,,,
q-elektricien-1503-1,Wat is het probleem?,What is the problem?,,,,
q-elektricien-1503-2,Hoe dringend is de reparatie?,How urgent is the repair?,,,,
q-elektricien-1504-1,Waarvoor is de keuring nodig?,What is the purpose of the inspection?,,,,
q-elektricien-1504-2,Moet er ook direct hersteld worden bij afkeur?,Should repairs be carried out immediately if the inspection fails?,,,,
q-elektricien-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-garagepoorten-1601-1,Wat voor type garagepoort wil je?,What type of garage door would you like?,,,,
q-garagepoorten-1601-2,Met of zonder elektrische bediening?,With or without electric operation?,,,,
q-garagepoorten-1601-3,Hoe breed is de garageopening ongeveer?,Approximately how wide is the garage opening?,,,,
q-garagepoorten-1602-1,Waarom wil je de garagepoort vervangen?,Why do you want to replace the garage door?,,,,
q-garagepoorten-1602-2,Welk type poort wil je terugplaatsen?,What type of door would you like to have installed?,,,,
q-garagepoorten-1602-3,Moet de oude poort verwijderd worden?,Should the old door be removed?,,,,
q-garagepoorten-1603-1,Wat is het probleem?,What is the problem?,,,,
q-garagepoorten-1603-2,Hoe oud is de garagepoort ongeveer?,Approximately how old is the garage door?,,,,
q-garagepoorten-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-general-contact-company,Bedrijfsnaam,Company name,Bedrijfsnaam..,Company name..,,
q-general-contact-email,E-mailadres,Email address,E-mailadres..,Email address..,,
q-general-contact-email-business,E-mailadres,Email address,E-mailadres..,Email address..,,
q-general-contact-firstname,Voornaam,First name,Voornaam..,First name..,,
q-general-contact-firstname-business,Voornaam,First name,Voornaam..,First name..,,
q-general-contact-lastname,Achternaam,Last name,Achternaam..,Last name..,,
q-general-contact-lastname-business,Achternaam,Last name,Achternaam..,Last name..,,
q-general-contact-phone,Telefoonnummer,Phone number,Telefoonnummer..,Phone number..,,
q-general-contact-phone-business,Telefoonnummer,Phone number,Telefoonnummer..,Phone number..,,
q-general-description,Projectomschrijving,Project description,Geef een korte omschrijving van je project en ontvang nauwkeurigere offertes.,Provide a brief description of your project to receive more accurate quotes.,Geef een korte omschrijving van je project en ontvang nauwkeurigere offertes.,Provide a brief description of your project to receive more accurate quotes.
q-general-execution-date,Uitvoeringsdatum,Execution date,,,,
q-general-location-city,Woonplaats / Stad,City,Woonplaats / Stad..,City..,,
q-general-location-number,Nummer / Huisnummer,Number / House number,Nummer / Huisnummer..,Number / House number..,,
q-general-location-postcode,Postcode,Postcode,Postcode..,Postcode..,,
q-general-location-street,Straatnaam,Street name,Straatnaam..,Street name..,,
q-general-photos,Wil je foto's toevoegen?,Would you like to add photos?,,,,
q-general-request-type,Soort aanvraag,Type of request,,,,
q-gevelwerken-1701-1,Wat voor soort gevel heb je?,What type of facade do you have?,,,,
q-gevelwerken-1701-2,Hoe wil je de gevel laten reinigen?,How would you like to have the facade cleaned?,,,,
q-gevelwerken-1701-3,Hoe groot is de gevel ongeveer?,What is the approximate size of the facade?,,,,
q-gevelwerken-1702-1,Wat moet er hersteld worden?,What needs to be repaired?,,,,
q-gevelwerken-1702-2,Hoe groot is de schade?,How extensive is the damage?,,,,
q-gevelwerken-1703-1,Met welk materiaal wil je de gevel bekleden?,With which material would you like to clad the facade?,,,,
q-gevelwerken-1703-2,Moet de gevel ook geïsoleerd worden?,Does the facade also need to be insulated?,,,,
q-gevelwerken-1703-3,Hoe groot is de gevel?,How large is the facade?,,,,
q-gevelwerken-1704-1,Wat moet er gebeuren?,What needs to be done?,,,,
q-gevelwerken-1704-2,Hoe groot is het oppervlak?,How large is the surface area?,,,,
q-gevelwerken-root,Wat voor type gevelwerk zoek je?,What type of facade work are you looking for?,,,,
q-glassetter-1801-1,Waar moet het glas geplaatst worden?,Where should the glass be installed?,,,,
q-glassetter-1801-2,Wat voor type glas wil je?,What type of glass would you like?,,,,
q-glassetter-1801-3,Hoeveel ruiten gaat het om?,How many panes are involved?,,,,
q-glassetter-1802-1,Waarom wil je het glas vervangen?,Why do you want to replace the glass?,,,,
q-glassetter-1802-2,Welk type glas wil je laten plaatsen?,What type of glass would you like to have installed?,,,,
q-glassetter-1802-3,Moet het oude glas ook verwijderd worden?,Should the old glass also be removed?,,,,
q-glassetter-1803-1,Wat is het probleem?,What is the problem?,,,,
q-glassetter-1803-2,Hoeveel ruiten gaat het om?,How many panes are involved?,,,,
q-glassetter-root,Wat voor type glasopdracht zoek je?,What type of glass project are you looking for?,,,,
q-grondwerken-1901-1,Wat moet er uitgegraven of opgehoogd worden?,What needs to be excavated or raised?,,,,
q-grondwerken-1901-2,Hoe groot is het oppervlak?,How large is the surface area?,,,,
q-grondwerken-1901-3,Moet de grond ook afgevoerd worden?,Does the soil also need to be removed?,,,,
q-grondwerken-1902-1,Voor welk project?,For which project?,,,,
q-grondwerken-1902-2,Hoe groot is de fundering?,How large is the foundation?,,,,
q-grondwerken-1902-3,Moet er ook bekisting/beton gestort worden?,Does formwork need to be placed or concrete poured?,,,,
q-grondwerken-1903-1,Voor welke leidingen?,For which pipes/conduits?,,,,
q-grondwerken-1903-2,Hoe lang moet er gegraven worden?,How long a distance needs to be excavated?,,,,
q-grondwerken-1903-3,Moet de sleuf weer dichtgemaakt worden?,Does the trench need to be backfilled?,,,,
q-grondwerken-1904-1,Waar moet het terrein geëgaliseerd worden?,Where does the terrain need to be leveled?,,,,
q-grondwerken-1904-2,Hoe groot is het terrein?,How large is the terrain?,,,,
q-grondwerken-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-gyproc-plafonds-2001-1,Waar wil je nieuwe wanden plaatsen?,Where would you like to install new walls?,,,,
q-gyproc-plafonds-2001-2,Moeten de wanden geluids- of warmte-isolerend zijn?,Do the walls need to be soundproof or heat-insulated?,,,,
q-gyproc-plafonds-2001-3,Hoe groot is de wand (in m²) ongeveer?,Approximately how large is the wall (in m²)?,,,,
q-gyproc-plafonds-2002-1,Waar moet het plafond komen?,Where should the ceiling be installed?,,,,
q-gyproc-plafonds-2002-2,Wat voor type plafond wil je?,What type of ceiling would you like?,,,,
q-gyproc-plafonds-2002-3,Moet er ook verlichting geïntegreerd worden?,Should lighting also be integrated?,,,,
q-gyproc-plafonds-2003-1,Wat voor afwerking wil je?,What kind of finish would you like?,,,,
q-gyproc-plafonds-2003-2,Hoe groot is de oppervlakte ongeveer?,Approximately how large is the surface area?,,,,
q-gyproc-plafonds-2004-1,Wat is het probleem?,What is the problem?,,,,
q-gyproc-plafonds-2004-2,Hoe groot is de schade?,How extensive is the damage?,,,,
q-gyproc-plafonds-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-haard-2101-1,Wat voor type haard wil je?,What type of fireplace would you like?,,,,
q-haard-2101-2,Waar moet de haard komen?,Where should the fireplace be located?,,,,
q-haard-2101-3,Moet er ook een rookkanaal aangelegd worden?,Does a flue/chimney also need to be installed?,,,,
q-haard-2102-1,Wat wil je vervangen?,What would you like to replace?,,,,
q-haard-2102-2,Waarom wil je vervangen?,Why do you want to replace it?,,,,
q-haard-2102-3,Moet de oude haard verwijderd worden?,Should the old fireplace be removed?,,,,
q-haard-2103-1,Wat is het probleem?,What is the problem?,,,,
q-haard-2103-2,Hoe oud is de haard ongeveer?,Approximately how old is the fireplace?,,,,
q-haard-2104-1,Wat wil je laten doen?,What would you like to have done?,,,,
q-haard-2104-2,Om wat voor haard gaat het?,What type of fireplace is it?,,,,
q-haard-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-hekwerken-2201-1,Wat voor type hekwerk wil je?,What type of fencing would you like?,,,,
q-hekwerken-2201-2,Hoe hoog moet het hekwerk zijn?,How high should the fencing be?,,,,
q-hekwerken-2201-3,Hoe lang moet het hekwerk zijn?,How long should the fencing be?,,,,
q-hekwerken-2202-1,Wat voor type hekwerk wil je vervangen?,What type of fencing would you like to replace?,,,,
q-hekwerken-2202-2,Waarom wil je vervangen?,Why do you want to replace it?,,,,
q-hekwerken-2202-3,Moet het oude hekwerk verwijderd worden?,Should the old fencing be removed?,,,,
q-hekwerken-2203-1,Wat is het probleem?,What is the problem?,,,,
q-hekwerken-2203-2,Hoe groot is de schade?,How extensive is the damage?,,,,
q-hekwerken-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-interieur-2301-1,Om welke ruimtes gaat het?,Which rooms are involved?,,,,
q-interieur-2301-2,Wat is je belangrijkste doel?,What is your primary goal?,,,,
q-interieur-2302-1,Voor welk type woning?,For what type of home?,,,,
q-interieur-2302-2,Wil je ook begeleiding tijdens de uitvoering?,Would you also like supervision during the execution?,,,,
q-interieur-2302-3,Heb je een voorkeur voor stijl?,Do you have a preferred style?,,,,
q-interieur-2303-1,Om wat voor meubel gaat het?,What kind of furniture is it?,,,,
q-interieur-2303-2,Waar moet het meubel komen?,Where should the furniture be placed?,,,,
q-interieur-2304-1,Voor welke ruimte wil je advies?,For which room do you need advice?,,,,
q-interieur-2304-2,Wat is je doel?,What is your goal?,,,,
q-interieur-2305-1,Voor welke ruimte(s) heb je een lichtplan nodig?,For which room(s) do you need a lighting plan?,,,,
q-interieur-2305-2,Wil je ook installatie laten uitvoeren?,Would you also like to have the installation carried out?,,,,
q-interieur-root,Wat voor type interieur-opdracht zoek je?,What type of interior project are you looking for?,,,,
q-isolatie-2401-1,Wat voor woning heb je?,What type of home do you have?,,,,
q-isolatie-2401-2,Weet je of de spouwmuur al geïsoleerd is?,Do you know if the cavity wall is already insulated?,,,,
q-isolatie-2401-3,Wat is the oppervlakte ongeveer?,What is the approximate surface area?,,,,
q-isolatie-2402-1,Wat voor type dak wil je isoleren?,What type of roof would you like to insulate?,,,,
q-isolatie-2402-2,Hoe groot is het oppervlak ongeveer?,Approximately how large is the surface area?,,,,
q-isolatie-2403-1,Waar wil je isoleren?,Where would you like to insulate?,,,,
q-isolatie-2403-2,Wat is de vloeroppervlakte ongeveer?,What is the approximate floor surface area?,,,,
q-isolatie-2403-3,Moet er ook vloerverwarming meegenomen worden?,Should underfloor heating also be included?,,,,
q-isolatie-2404-1,Wat voor afwerking wil je op de gevel?,What kind of finish would you like for the facade?,,,,
q-isolatie-2404-2,Moet de gevel ook gereinigd/hersteld worden vooraf?,Does the facade also need to be cleaned/repaired beforehand?,,,,
q-isolatie-2405-1,Wil je de zoldervloer ook als woonruimte gebruiken?,Would you also like to use the attic floor as a living space?,,,,
q-isolatie-2405-2,Welk isolatiemateriaal heeft je voorkeur?,Which insulation material do you prefer?,,,,
q-isolatie-root,Wat voor type isolatie zoek je?,What type of insulation are you looking for?,,,,
q-it-apparatuur-401-1,Wat voor apparatuur wil je installeren?,What equipment do you want to install?,,,,
q-it-apparatuur-401-2,Voor hoeveel werkplekken?,For how many workstations?,,,,
q-it-apparatuur-401-3,Moet ook software/configuratie worden uitgevoerd?,Should software/configuration also be performed?,,,,
q-it-apparatuur-402-1,Welke apparatuur wil je vervangen?,Which equipment do you want to replace?,,,,
q-it-apparatuur-402-2,Waarom wil je vervangen?,Why do you want to replace it?,,,,
q-it-apparatuur-402-3,Moet oude apparatuur afgevoerd worden?,Should the old equipment be removed?,,,,
q-it-apparatuur-403-1,Om wat voor apparaat gaat het?,What kind of device is it?,,,,
q-it-apparatuur-403-2,Wat is het probleem?,What is the problem?,,,,
q-it-apparatuur-404-1,Voor welke apparaten zoek je onderhoud?,For which devices are you looking for maintenance?,,,,
q-it-apparatuur-404-2,Hoe vaak wil je onderhoud?,How often would you like maintenance?,,,,
q-it-apparatuur-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-kantoorapparatuur-6001-1,Wat voor type apparatuur wil je laten plaatsen?,What type of equipment would you like to have installed?,,,,
q-kantoorapparatuur-6001-2,Voor welk type organisatie/gebouw?,For what type of organization/building?,,,,
q-kantoorapparatuur-6001-3,Om hoeveel apparaten gaat het?,How many devices are involved?,,,,
q-kantoorapparatuur-6002-1,Wat wil je vervangen?,What would you like to replace?,,,,
q-kantoorapparatuur-6002-2,Waarom wil je vervangen?,Why do you want to replace it?,,,,
q-kantoorapparatuur-6002-3,Moet de oude apparatuur verwijderd worden?,Should the old equipment be removed?,,,,
q-kantoorapparatuur-6003-1,Wat is het probleem?,What is the problem?,,,,
q-kantoorapparatuur-6003-2,Hoe oud is de apparatuur ongeveer?,Approximately how old is the equipment?,,,,
q-kantoorapparatuur-6004-1,Wat wil je laten doen?,What would you like to have done?,,,,
q-kantoorapparatuur-6004-2,Hoe vaak wil je onderhoud?,How often would you like maintenance?,,,,
q-kantoorapparatuur-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-keuken-2501-1,Wat voor type keuken wil je?,What type of kitchen would you like?,,,,
q-keuken-2501-2,Heb je de keuken al gekocht?,Have you already purchased the kitchen?,,,,
q-keuken-2501-3,Moet de vakman ook oude keuken verwijderen?,Should the professional also remove the old kitchen?,,,,
q-keuken-2502-1,Wat wil je laten renoveren?,What would you like to have renovated?,,,,
q-keuken-2502-2,Moet er ook leidingwerk worden aangepast?,Does the piping/plumbing also need to be adjusted?,,,,
q-keuken-2503-1,Welk materiaal wil je?,Which material would you like?,,,,
q-keuken-2503-2,Moet het oude blad verwijderd worden?,Should the old countertop be removed?,,,,
q-keuken-2504-1,Om hoeveel kastdeuren gaat het?,How many cabinet doors are involved?,,,,
q-keuken-2504-2,Welke afwerking wil je?,What kind of finish would you like?,,,,
q-keuken-2505-1,Om welke apparatuur gaat het?,Which equipment is involved?,,,,
q-keuken-2505-2,Moet oude apparatuur worden verwijderd?,Does the old equipment need to be removed?,,,,
q-keuken-root,Wat voor keuken-opdracht zoek je?,What kind of kitchen project are you looking for?,,,,
q-laadpaal-2601-1,Waar wil je de laadpaal plaatsen?,Where would you like to install the charging station?,,,,
q-laadpaal-2601-2,Wat voor type laadpaal wil je?,What type of charging station would you like?,,,,
q-laadpaal-2601-3,Moet de laadpaal met backoffice/app verbonden zijn?,Should the charging station be connected to a back-office or app?,,,,
q-laadpaal-2602-1,Waarom wil je de laadpaal vervangen?,Why do you want to replace the charging station?,,,,
q-laadpaal-2602-2,Wat voor nieuwe laadpaal wil je?,What type of new charging station would you like?,,,,
q-laadpaal-2602-3,Moet de oude laadpaal verwijderd worden?,Should the old charging station be removed?,,,,
q-laadpaal-2603-1,Wat is het probleem?,What is the problem?,,,,
q-laadpaal-2603-2,Hoe oud is de laadpaal ongeveer?,Approximately how old is the charging station?,,,,
q-laadpaal-root,Wat voor type opdracht zoek je?,What type of project are you looking for?,,,,
q-loodgieter-2701-1,Wat moet er geïnstalleerd worden?,What needs to be installed?,,,,
q-loodgieter-2701-2,Voor welk type gebouw?,For what type of building?,,,,
q-loodgieter-2701-3,Moet de loodgieter ook materiaal leveren?,Should the plumber also supply the materials?,,,,
q-loodgieter-2702-1,Wat is het probleem?,What is the problem?,,,,
q-loodgieter-2702-2,Waar bevindt het probleem zich?,Where is the problem located?,,,,
q-loodgieter-2702-3,Hoe dringend is de reparatie?,How urgent is the repair?,,,,
q-loodgieter-2703-1,Wat wil je laten onderhouden?,What would you like to have maintained?,,,,
