id,service_category_id,question_text_nl,question_text_en,question_type,is_root_question,parent_question_id,parent_option_id,order_index,is_required,placeholder_nl,placeholder_en,help_text_nl,help_text_en,is_active,created_at,updated_at,step_number,service_subcategory_id
q-airco-203-2,2,Hoe oud is de installatie ongeveer?,How old is the installation approximately?,radio,false,q-airco-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,203
q-airco-204-1,2,Wat wil je laten doen?,What do you want to have done?,radio,false,q-airco-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,204
q-airco-204-2,2,Hoe vaak wil je onderhoud?,How often do you want maintenance?,radio,false,q-airco-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,204
q-airco-root,2,Wat voor type opdracht zoek je?,What type of project are you looking for?,radio,true,,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,
q-alarmsystemen-301-1,3,Voor welk type gebouw?,Voor welk type gebouw?,radio,false,q-alarmsystemen-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,301
q-alarmsystemen-301-2,3,Wat voor type systeem wil je?,What type of systeem wil je?,radio,false,q-alarmsystemen-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,301
q-alarmsystemen-301-3,3,Moet het systeem ook verbonden zijn met meldkamer?,Should the systeem ook verbonden zijn met meldkamer?,radio,false,q-alarmsystemen-root,,3,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,301
q-alarmsystemen-302-1,3,Wat wil je toevoegen?,What do you want toevoegen?,radio,false,q-alarmsystemen-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,302
q-alarmsystemen-302-2,3,Hoeveel extra componenten gaat het om?,How many extra componenten gaat het om?,radio,false,q-alarmsystemen-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,302
q-alarmsystemen-303-1,3,Waarom wil je vervangen?,Why do you want to replace?,radio,false,q-alarmsystemen-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,303
q-alarmsystemen-303-2,3,Wat voor nieuw systeem wil je?,What kind of nieuw systeem wil je?,radio,false,q-alarmsystemen-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,303
q-alarmsystemen-303-3,3,Moet het oude systeem verwijderd worden?,Should the old systeem verwijderd worden?,radio,false,q-alarmsystemen-root,,3,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,303
q-alarmsystemen-304-1,3,Wat is het probleem?,Wat is het probleem?,radio,false,q-alarmsystemen-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,304
q-alarmsystemen-304-2,3,Hoe oud is het systeem ongeveer?,Hoe oud is het systeem approximately?,radio,false,q-alarmsystemen-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,304
q-alarmsystemen-root,3,Wat voor type opdracht zoek je?,What type of project are you looking for?,radio,true,,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,
q-architect-501-1,5,Heb je al bouwgrond?,Do you have al bouwgrond?,radio,false,q-architect-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,501
q-architect-501-2,5,In welke fase zit je?,In welke fase zit je?,radio,false,q-architect-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,501
q-architect-501-3,5,Wat voor type woning wil je bouwen?,What type of woning wil je bouwen?,radio,false,q-architect-root,,3,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,501
q-architect-502-1,5,Om wat voor verbouwing gaat het?,Om wat voor verbouwing gaat het?,radio,false,q-architect-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,502
q-architect-502-2,5,Heb je al bestaande plannen/tekeningen?,Do you have al bestaande plannen/tekeningen?,radio,false,q-architect-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,502
q-architect-502-3,5,Moet de architect ook de bouwaanvraag/vergunning regelen?,Should the architect ook de bouwaanvraag/vergunning regelen?,radio,false,q-architect-root,,3,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,502
q-architect-503-1,5,Wat wil je realiseren?,What do you want realiseren?,radio,false,q-architect-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,503
q-architect-503-2,5,Heb je een vergunning nodig of al aangevraagd?,Do you have een vergunning nodig of al aangevraagd?,radio,false,q-architect-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,503
q-architect-503-3,5,Moet de architect ook het bouwtoezicht doen?,Should the architect ook het bouwtoezicht doen?,radio,false,q-architect-root,,3,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,503
q-architect-504-1,5,Om welke ruimtes gaat het?,Om welke ruimtes gaat het?,radio,false,q-architect-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,504
q-architect-504-2,5,Wat is je doel?,Wat is je doel?,radio,false,q-architect-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,504
q-architect-505-1,5,Waar heb je hulp bij nodig?,Waar heb je hulp bij nodig?,radio,false,q-architect-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,505
q-architect-505-2,5,In welke fase zit je?,In welke fase zit je?,radio,false,q-architect-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,505
q-architect-root,5,Wat voor opdracht zoek je?,What kind of project are you looking for?,radio,true,,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,
q-asbest-601-1,6,Waar moet het onderzoek plaatsvinden?,Where should het onderzoek plaatsvinden?,radio,false,q-asbest-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,601
q-asbest-601-2,6,Voor welk doel is het onderzoek nodig?,Voor welk doel is het onderzoek nodig?,radio,false,q-asbest-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,601
q-asbest-602-1,6,Waar zit het asbest?,Waar zit het asbest?,radio,false,q-asbest-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,602
q-asbest-602-2,6,Hoe groot is het oppervlak ongeveer?,How large is het oppervlak approximately?,radio,false,q-asbest-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,602
q-asbest-602-3,6,Moet er een asbestinventarisatie vooraf gebeuren?,Should een asbestinventarisatie vooraf gebeuren?,radio,false,q-asbest-root,,3,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,602
q-asbest-603-1,6,Wat voor type dak gaat het om?,What type of dak gaat het om?,radio,false,q-asbest-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,603
q-asbest-603-2,6,Hoe groot is het dakoppervlak ongeveer?,How large is het dakoppervlak approximately?,radio,false,q-asbest-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,603
q-asbest-603-3,6,Wil je meteen nieuwe dakbedekking laten plaatsen?,Wil je meteen nieuwe dakbedekking have install?,radio,false,q-asbest-root,,3,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,603
q-asbest-root,6,Wat voor type opdracht zoek je?,What type of project are you looking for?,radio,true,,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,
q-bestrating-701-1,7,Waar moet de bestrating komen?,Where should de paving komen?,radio,false,q-bestrating-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,701
q-bestrating-701-2,7,Welke soort bestrating wil je?,Which soort paving wil je?,radio,false,q-bestrating-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,701
q-bestrating-701-3,7,Hoe groot is het oppervlak ongeveer?,How large is het oppervlak approximately?,radio,false,q-bestrating-root,,3,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,701
q-bestrating-702-1,7,Waarom wil je de bestrating vervangen?,Why do you want to de paving replace?,radio,false,q-bestrating-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,702
q-bestrating-702-2,7,Moet de oude bestrating ook verwijderd worden?,Should the old paving ook verwijderd worden?,radio,false,q-bestrating-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,702
q-bestrating-702-3,7,Welke nieuwe bestrating wil je?,Which nieuwe paving wil je?,radio,false,q-bestrating-root,,3,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,702
q-bestrating-703-1,7,Wat is het probleem?,Wat is het probleem?,radio,false,q-bestrating-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,703
q-bestrating-703-2,7,Hoe groot is het oppervlak dat moet worden aangepakt?,How large is het oppervlak dat moet worden aangepakt?,radio,false,q-bestrating-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,703
q-bestrating-root,7,Wat voor type bestrating zoek je?,What type of paving are you looking for?,radio,true,,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,
q-betonwerken-801-1,8,Voor welk project wil je een fundering laten maken?,Voor welk project wil je een fundering have maken?,radio,false,q-betonwerken-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,801
q-betonwerken-801-2,8,Hoe groot is de fundering ongeveer?,How large is de fundering approximately?,radio,false,q-betonwerken-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,801
q-betonwerken-801-3,8,Moet er ook wapening worden geplaatst?,Should ook wapening worden geplaatst?,radio,false,q-betonwerken-root,,3,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,801
q-betonwerken-802-1,8,Wat voor vloer moet er komen?,What kind of vloer moet er komen?,radio,false,q-betonwerken-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,802
q-betonwerken-802-2,8,Waar moet de vloer geplaatst worden?,Where should de vloer geplaatst worden?,radio,false,q-betonwerken-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,802
q-betonwerken-802-3,8,Hoe groot is het oppervlak?,How large is het oppervlak?,radio,false,q-betonwerken-root,,3,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,802
q-betonwerken-803-1,8,Wat voor constructie gaat het om?,What kind of constructie gaat het om?,radio,false,q-betonwerken-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,803
q-betonwerken-803-2,8,Hoe groot moet de constructie zijn?,How large moet de constructie zijn?,radio,false,q-betonwerken-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,803
q-betonwerken-804-1,8,Wat is het probleem?,Wat is het probleem?,radio,false,q-betonwerken-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,804
q-betonwerken-804-2,8,Hoe groot is de schade?,How large is de schade?,radio,false,q-betonwerken-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,804
q-betonwerken-root,8,Wat voor type opdracht zoek je?,What type of project are you looking for?,radio,true,,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,
q-carport-901-1,9,Wat voor type carport wil je?,What type of carport wil je?,radio,false,q-carport-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,901
q-carport-901-2,9,Van welk materiaal moet de carport zijn?,Van welk materiaal moet de carport zijn?,radio,false,q-carport-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,901
q-carport-901-3,9,Moet de carport een dakbedekking hebben?,Should the carport een dakbedekking hebben?,radio,false,q-carport-root,,3,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,901
q-carport-902-1,9,Waarom wil je de carport vervangen?,Why do you want to de carport replace?,radio,false,q-carport-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,902
q-carport-902-2,9,Wat voor nieuwe carport wil je?,What kind of nieuwe carport wil je?,radio,false,q-carport-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,902
q-carport-902-3,9,Moet de oude carport verwijderd worden?,Should the old carport verwijderd worden?,radio,false,q-carport-root,,3,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,902
q-carport-903-1,9,Wat is het probleem?,Wat is het probleem?,radio,false,q-carport-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,903
q-carport-903-2,9,Hoe groot is de schade?,How large is de schade?,radio,false,q-carport-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,903
q-carport-root,9,Wat voor type opdracht zoek je?,What type of project are you looking for?,radio,true,,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,
q-centrale-verwarming-1001-1,10,Wat voor type installatie wil je?,What type of installatie wil je?,radio,false,q-centrale-verwarming-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,1001
q-centrale-verwarming-1001-2,10,Voor wat voor woning?,Voor wat voor woning?,radio,false,q-centrale-verwarming-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,1001
q-centrale-verwarming-1001-3,10,Moet de vakman ook radiatoren of vloerverwarming aansluiten?,Should the vakman ook radiatoren of vloerverwarming aansluiten?,radio,false,q-centrale-verwarming-root,,3,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,1001
q-centrale-verwarming-1002-1,10,Wat wil je vervangen?,What do you want replace?,radio,false,q-centrale-verwarming-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,1002
q-centrale-verwarming-1002-2,10,Waarom wil je vervangen?,Why do you want to replace?,radio,false,q-centrale-verwarming-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,1002
q-centrale-verwarming-1002-3,10,Moet de oude installatie verwijderd worden?,Should the old installatie verwijderd worden?,radio,false,q-centrale-verwarming-root,,3,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,1002
q-centrale-verwarming-1003-1,10,Wat is het probleem?,Wat is het probleem?,radio,false,q-centrale-verwarming-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,1003
q-centrale-verwarming-1003-2,10,Hoe oud is de ketel ongeveer?,Hoe oud is de ketel approximately?,radio,false,q-centrale-verwarming-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,1003
q-centrale-verwarming-1004-1,10,Wat voor onderhoud wil je?,What kind of onderhoud wil je?,radio,false,q-centrale-verwarming-root,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,1004
q-centrale-verwarming-1004-2,10,Hoe oud is de installatie?,Hoe oud is de installatie?,radio,false,q-centrale-verwarming-root,,2,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,1004
q-centrale-verwarming-root,10,Wat voor type opdracht zoek je?,What type of project are you looking for?,radio,true,,,1,true,,,,,true,2026-01-15 11:59:54.863315+00,2026-01-15 11:59:54.863315+00,1,
q-dakbedekking-1101-1,11,Wat voor type dak wil je laten plaatsen?,What type of dak wil je have install?,radio,false,q-dakbedekking-root,,1,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1101
q-dakbedekking-1101-2,11,Om wat voor gebouw gaat het?,Om wat voor gebouw gaat het?,radio,false,q-dakbedekking-root,,2,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1101
q-dakbedekking-1101-3,11,Welke dakbedekking wil je?,Which dakbedekking wil je?,radio,false,q-dakbedekking-root,,3,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1101
q-dakbedekking-1102-1,11,Wat moet er vervangen worden?,Wat moet er replace worden?,radio,false,q-dakbedekking-root,,1,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1102
q-dakbedekking-1102-2,11,Om wat voor type dak gaat het?,Om wat voor type dak gaat het?,radio,false,q-dakbedekking-root,,2,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1102
q-dakbedekking-1102-3,11,Moet oude dakbedekking ook verwijderd worden?,Moet old dakbedekking ook verwijderd worden?,radio,false,q-dakbedekking-root,,3,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1102
q-dakbedekking-1103-1,11,Wat voor probleem ervaar je?,What kind of probleem ervaar je?,radio,false,q-dakbedekking-root,,1,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1103
q-dakbedekking-1103-2,11,Hoe groot is de schade?,How large is de schade?,radio,false,q-dakbedekking-root,,2,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1103
q-dakbedekking-1104-1,11,Wat moet er gebeuren?,What needs to be done?,radio,false,q-dakbedekking-root,,1,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1104
q-dakbedekking-1104-2,11,Welke dakbedekking wil je?,Which dakbedekking wil je?,radio,false,q-dakbedekking-root,,2,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1104
q-dakbedekking-1105-1,11,Wat moet er gebeuren?,What needs to be done?,radio,false,q-dakbedekking-root,,1,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1105
q-dakbedekking-1105-2,11,Wat voor soort dakpannen?,What kind of soort dakpannen?,radio,false,q-dakbedekking-root,,2,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1105
q-dakbedekking-root,11,Wat voor type dakwerk zoek je?,What type of dakwerk are you looking for?,radio,true,,,1,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,
q-dakisolatie-1201-1,12,Wat moet er gebeuren?,What needs to be done?,radio,false,q-dakisolatie-root,,1,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1201
q-dakisolatie-1201-2,12,Heb je al dakbedekking die behouden moet blijven?,Do you have al dakbedekking die beholdn moet blijven?,radio,false,q-dakisolatie-root,,2,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1201
q-dakisolatie-1201-3,12,Wat is de dakoppervlakte ongeveer?,Wat is de dakoppervlakte approximately?,radio,false,q-dakisolatie-root,,3,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1201
q-dakisolatie-1202-1,12,Wat moet er geïsoleerd worden?,Wat moet er geïsoleerd worden?,radio,false,q-dakisolatie-root,,1,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1202
q-dakisolatie-1202-2,12,Wat is de afwerking na isolatie?,Wat is de afwerking na isolatie?,radio,false,q-dakisolatie-root,,2,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1202
q-dakisolatie-1202-3,12,Hoe groot is het dakoppervlak ongeveer?,How large is het dakoppervlak approximately?,radio,false,q-dakisolatie-root,,3,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1202
q-dakisolatie-1203-1,12,Moet de dakbedekking ook vernieuwd worden?,Should the dakbedekking ook vernieuwd worden?,radio,false,q-dakisolatie-root,,1,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1203
q-dakisolatie-1203-2,12,Wat voor soort dakbedekking wil je terug?,What kind of soort dakbedekking wil je terug?,radio,false,q-dakisolatie-root,,2,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1203
q-dakisolatie-1203-3,12,Hoe groot is het dakoppervlak ongeveer?,How large is het dakoppervlak approximately?,radio,false,q-dakisolatie-root,,3,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1203
q-dakisolatie-1204-1,12,Wil je de zoldervloer afwerken als woonruimte?,Wil je de zoldervloer afwerken als woonruimte?,radio,false,q-dakisolatie-root,,1,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1204
q-dakisolatie-1204-2,12,Wat voor isolatiemateriaal heeft je voorkeur?,What kind of isolatiemateriaal heeft je voorkeur?,radio,false,q-dakisolatie-root,,2,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1204
q-dakisolatie-root,12,Wat voor type dak wil je isoleren?,What type of dak wil je isoleren?,radio,true,,,1,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,
q-dakramen-1301-1,13,Wat voor type dakraam wil je laten plaatsen?,What type of dakraam wil je have install?,radio,false,q-dakramen-root,,1,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1301
q-dakramen-1301-2,13,Wat is de afmeting ongeveer?,Wat is de afmeting approximately?,radio,false,q-dakramen-root,,2,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1301
q-dakramen-1301-3,13,Moet het dakraam ook voorzien worden van zonwering of rolluik?,Should the dakraam ook voorzien worden van zonwering of rolluik?,radio,false,q-dakramen-root,,3,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1301
q-dakramen-1302-1,13,Wat voor type raam gaat het om?,What type of raam gaat het om?,radio,false,q-dakramen-root,,1,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1302
q-dakramen-1302-2,13,Waarom wil je het raam vervangen?,Why do you want to het raam replace?,radio,false,q-dakramen-root,,2,true,,,,,true,2026-01-15 12:11:07.767635+00,2026-01-15 12:11:07.767635+00,1,1302
