id,slug,name_nl,name_en,description_nl,description_en,price_particulier,price_zakelijk,icon_url,sort_order,is_active,created_at,updated_at,service_category_id
303,alarmsystemen-alarmsysteem-vervangen,Alarmsysteem vervangen,Replace alarm system,"Alarmsysteem vervangen omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Replace alarm system includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",35.00,50.00,,3,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,3
304,alarmsystemen-alarmsysteem-repareren,Alarmsysteem repareren,Repair alarm system,"Alarmsysteem repareren omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Repair alarm system includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",22.00,32.00,,4,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,3
401,apparatuur-nieuwe-kantoorapparatuur-installeren,Nieuwe kantoorapparatuur installeren,Install new office equipment,"Nieuwe kantoorapparatuur installeren omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Install new office equipment includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",20.00,28.00,,1,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,4
402,apparatuur-kantoorapparatuur-vervangen,Kantoorapparatuur vervangen,Replace office equipment,"Kantoorapparatuur vervangen omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Replace office equipment includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",20.00,28.00,,2,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,4
403,apparatuur-kantoorapparatuur-repareren,Kantoorapparatuur repareren,Repair office equipment,"Kantoorapparatuur repareren omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Repair office equipment includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",12.00,18.00,,3,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,4
404,apparatuur-onderhoud-contract,Onderhoud contract,Maintenance contract,"Onderhoud contract omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Maintenance contract includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",14.00,20.00,,4,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,4
501,architect-nieuwbouw-ontwerp,Nieuwbouw ontwerp,New construction design,"Nieuwbouw ontwerp omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","New construction design includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",55.00,75.00,,1,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,5
502,architect-verbouwing-renovatie,Verbouwing / renovatie,Renovation / remodeling,"Verbouwing / renovatie omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Renovation / remodeling includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",40.00,58.00,,2,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,5
503,architect-aanbouw-uitbouw,Aanbouw / uitbouw,Extension / addition,"Aanbouw / uitbouw omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Extension / addition includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",40.00,58.00,,3,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,5
504,architect-interieurontwerp,Interieurontwerp,Interior design,"Interieurontwerp omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Interior design includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",45.00,65.00,,4,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,5
505,architect-vergunningen-advies,Vergunningen / advies,Permits / advice,"Vergunningen / advies omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Permits / advice includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",45.00,65.00,,5,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,5
601,asbest-asbestinventarisatie-onderzoek,Asbestinventarisatie / onderzoek,Asbestos inventory / survey,"Asbestinventarisatie / onderzoek omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Asbestos inventory / survey includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",30.00,42.00,,1,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,6
602,asbest-asbest-verwijderen,Asbest verwijderen,Remove asbestos,"Asbest verwijderen omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Remove asbestos includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",45.00,65.00,,2,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,6
603,asbest-asbest-dak-vervangen,Asbest dak vervangen,Replace asbestos roof,"Asbest dak vervangen omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Replace asbestos roof includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",55.00,75.00,,3,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,6
701,bestrating-nieuwe-bestrating-aanleggen,Nieuwe bestrating aanleggen,Install new paving,"Nieuwe bestrating aanleggen omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Install new paving includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",20.00,28.00,,1,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,7
702,bestrating-bestaande-bestrating-vervangen,Bestaande bestrating vervangen,Replace existing paving,"Bestaande bestrating vervangen omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Replace existing paving includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",20.00,28.00,,2,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,7
703,bestrating-herstel-ophogen-bestrating,Herstel / ophogen bestrating,Repair / raise paving,"Herstel / ophogen bestrating omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Repair / raise paving includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",16.00,22.00,,3,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,7
801,betonwerken-funderingen,Funderingen,Foundations,"Funderingen omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Foundations includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",45.00,65.00,,1,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,8
802,betonwerken-vloeren-dekvloeren,Vloeren / dekvloeren,Floors / screeds,"Vloeren / dekvloeren omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Floors / screeds includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",35.00,50.00,,2,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,8
803,betonwerken-betonconstructies,Betonconstructies,Concrete structures,"Betonconstructies omvat professionele dienstverlening uitgevoerd door erkende vakmensen met aandacht voor kwaliteit, veiligheid en regelgeving. Deze dienst is geschikt voor zowel particuliere als zakelijke projecten en wordt uitgevoerd met moderne technieken en duurzame materialen. Er wordt rekening gehouden met planning, budget en minimale overlast. Van voorbereiding tot oplevering begeleiden wij het volledige traject en zorgen wij voor een betrouwbaar, efficiënt en transparant resultaat dat voldoet aan actuele normen en verwachtingen.","Concrete structures includes professional services delivered by qualified specialists with a strong focus on quality, safety, and compliance. This service is suitable for both residential and commercial projects and uses modern techniques and durable materials. We carefully manage planning, budget, and disruption. From initial preparation to final delivery, we handle the entire process to ensure reliable, efficient, and transparent results that meet current standards and expectations.",45.00,65.00,,3,true,2025-12-04 00:54:46.659665+00,2025-12-04 00:54:46.659665+00,8
